,param_name,mean,std,2.5q,25q,50q,75q,97.5q,mc err,sub,model_ID
2051,t,0.7727291883383265,0.0177515360410939,0.7386407975001162,0.7610436065471189,0.7724940474381807,0.7836544548610161,0.8093042235720531,0.000318030304191,80,4
2052,v_Intercept,-1.152767123129085,0.3008947229315307,-1.732463771301625,-1.3659796044898662,-1.150225129545193,-0.9411960933710176,-0.569744009804912,0.0188571526765356,80,4
2053,v_gain,0.2329152881994013,0.014916864093547,0.201973992733967,0.2231287226232347,0.2335079215990628,0.2434456393042056,0.2606025312414557,0.0008551381649699,80,4
2054,v_loss,-0.1315928363220838,0.0137166487478989,-0.1570460936352406,-0.1410058558364375,-0.1317654476833243,-0.1224098702177383,-0.1045355047239616,0.0006353429166073,80,4
2055,BIC,459.9377516785961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4
2056,a,0.6908112807516507,0.027188427243127,0.640647283852141,0.6719820416743321,0.6899318093941994,0.708197561455496,0.7473795238476747,0.0004179595583223,117,4
2057,z,0.4262751644761994,0.0291231538135371,0.3704691290137428,0.4063072692511464,0.4259336885522456,0.4459074898823193,0.4852271671325532,0.0010678433332722,117,4
2058,t,0.5776600257665618,0.008825213425253,0.5597744534220147,0.5719449435881121,0.5779556294631242,0.5837011504884518,0.5942174073771951,0.000236542387773,117,4
2059,v_Intercept,-0.9424534278675504,0.4624881245436035,-1.8546299175474197,-1.284385051806969,-0.9208036604821748,-0.5955804485869994,-0.1002180060473548,0.0408264779830361,117,4
2060,v_gain,0.0672250915228799,0.0097954444102467,0.0481768005925394,0.0603608283808224,0.0671571661855084,0.0738685542599721,0.087004974041762,0.0006486370838391,117,4
2061,v_loss,-0.1328436027001637,0.0201388074814576,-0.1689865108499482,-0.1480295805610504,-0.1335829802721781,-0.1180048976000568,-0.0924085532058028,0.0017650686803355,117,4
2062,BIC,112.79384603894768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,4
2063,a,2.842692806950095,0.1302032631747328,2.50274561289237,2.777482740236402,2.871665547917209,2.9441056238031003,2.9948700554728,0.0059874179544633,89,3
2064,z,0.5018724388965748,0.0311864693847418,0.438170762625708,0.4814362651983302,0.503082237258719,0.5238461630923613,0.5598261450119013,0.0015946928725381,89,3
2065,t,0.5496560193782859,0.0512451568446317,0.4520435525473666,0.5153947283943109,0.5492873317605061,0.5824258574903364,0.6571479626734913,0.0024546526050519,89,3
2066,theta,0.8836699591672589,0.029888907581943,0.8130843237600835,0.8664880548285449,0.8866798083260429,0.9043719621001104,0.9328149674611228,0.001206536951746,89,3
2067,v_Intercept,-0.0625429204932914,0.1646919894122861,-0.3774729703031049,-0.1740098183948769,-0.0664448916297074,0.0442681875563902,0.2780464662465771,0.009151147598141,89,3
2068,v_gain_plus_loss,0.0845233479767599,0.0051316507779648,0.0736461297678361,0.0812645981466912,0.0847592551469385,0.0880415199169565,0.0941094450664448,0.0002645706406394,89,3
2069,BIC,339.1812819520336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,3
2070,a,1.039234594312744,0.0423142313182258,0.9593239204405746,1.0099753763647843,1.038133920000982,1.0676226444855903,1.1246820036634086,0.0009173740266286,83,4
2071,z,0.629358408325061,0.0269228214351278,0.5758594019953417,0.6113744326828501,0.6296086701091764,0.6475691110913512,0.6803377477863134,0.0008053028800942,83,4
2072,t,0.7873132546052538,0.0149399055926263,0.7562614663990417,0.7777051650598498,0.7878035444202957,0.7975708759302181,0.8154813190934993,0.0003283463902769,83,4
2073,v_Intercept,0.052782507600446,0.3125130271997275,-0.5616628355489909,-0.1553148947067982,0.0592474022046491,0.2614313672549656,0.6579021191293815,0.0202407921841788,83,4
2074,v_gain,0.0866186512765781,0.0074088669180604,0.0718298640034587,0.0816009942751633,0.0867184425224708,0.0914258041066472,0.1012838855600724,0.0004417138890007,83,4
2075,v_loss,-0.1318666001509414,0.0142845484456794,-0.1592909844916218,-0.1415842042193242,-0.1317718121803547,-0.1221432070034827,-0.10390543382146,0.0006881045065566,83,4
